RiverTools ChannelProfile
 
Number of profile points: 158
 
          Distance             Slope     Col     Row     Longitude      Latitude
      194.14733887        0.00000000      50      59   35.07125000    8.50375000
      195.98240662        0.00000000      49      59   35.05458333    8.50375000
      198.58346558        0.00000000      48      60   35.03791667    8.48708333
      200.41860962        0.00000000      47      60   35.02125000    8.48708333
      203.01972961        0.01329802      46      61   35.00458333    8.47041667
      204.86303711        0.02782482      46      62   35.00458333    8.45375000
      207.46426392        0.00000000      45      63   34.98791667    8.43708333
      209.30757141        0.00000000      45      64   34.98791667    8.42041667
      211.15087891        0.00000000      45      65   34.98791667    8.40375000
      212.99417114        0.01510942      45      66   34.98791667    8.38708333
      215.59561157        0.00000000      44      67   34.97125000    8.37041667
      217.43890381        0.01946968      44      68   34.97125000    8.35375000
      219.28219604        0.00000000      44      69   34.97125000    8.33708333
      221.88380432        0.00000000      45      70   34.98791667    8.32041667
      223.72709656        0.02700226      45      71   34.98791667    8.30375000
      225.57038879        0.00000000      45      72   34.98791667    8.28708333
      227.41368103        0.02525127      45      73   34.98791667    8.27041667
      230.01550293        0.00607982      44      74   34.97125000    8.25375000
      231.85877991        0.00000000      44      75   34.97125000    8.23708333
      234.46070862        0.00000000      43      76   34.95458333    8.22041667
      236.30398560        0.03270617      43      77   34.95458333    8.20375000
      238.14726257        0.00000000      43      78   34.95458333    8.18708333
      239.98381042        0.00000000      42      78   34.93791667    8.18708333
      241.82035828        0.01071184      41      78   34.92125000    8.18708333
      243.65690613        0.00000000      40      78   34.90458333    8.18708333
      245.49345398        0.03934598      39      78   34.88791667    8.18708333
      247.33000183        0.00203904      38      78   34.87125000    8.18708333
      249.16654968        0.00000000      37      78   34.85458333    8.18708333
      251.00309753        0.00000000      36      78   34.83791667    8.18708333
      252.83964539        0.00000000      35      78   34.82125000    8.18708333
      255.44172668        0.00000000      34      79   34.80458333    8.17041667
      258.04376221        0.01041908      33      78   34.78791667    8.18708333
      259.88031006        0.00222347      32      78   34.77125000    8.18708333
      261.72360229        0.00000000      32      79   34.77125000    8.17041667
      263.56021118        0.00000000      31      79   34.75458333    8.17041667
      265.39682007        0.00000000      30      79   34.73791667    8.17041667
      267.23342896        0.00007635      29      79   34.72125000    8.17041667
      269.83557129        0.00000000      28      80   34.70458333    8.15375000
      272.43765259        0.01035215      27      79   34.68791667    8.17041667
      274.27426147        0.00040000      26      79   34.67125000    8.17041667
      276.87628174        0.00000000      25      78   34.65458333    8.18708333
      279.47827148        0.00066539      24      77   34.63791667    8.20375000
      282.08020020        0.00046777      23      76   34.62125000    8.22041667
      283.91659546        0.00000000      22      76   34.60458333    8.22041667
      286.51846313        0.00120790      21      75   34.58791667    8.23708333
      288.35476685        0.00242313      20      75   34.57125000    8.23708333
      290.19107056        0.00000000      19      75   34.55458333    8.23708333
      292.02737427        0.00000000      18      75   34.53791667    8.23708333
      294.62930298        0.00088763      17      76   34.52125000    8.22041667
      296.46569824        0.00000000      16      76   34.50458333    8.22041667
      299.06756592        0.00061477      15      75   34.48791667    8.23708333
      301.66949463        0.00006489      14      76   34.47125000    8.22041667
      303.50588989        0.00037150      13      76   34.45458333    8.22041667
      305.34228516        0.00118171      12      76   34.43791667    8.22041667
      307.17868042        0.00012055      11      76   34.42125000    8.22041667
      309.01507568        0.00033557      10      76   34.40458333    8.22041667
      310.85147095        0.00042447       9      76   34.38791667    8.22041667
      313.45346069        0.00020098       8      77   34.37125000    8.20375000
      316.05548096        0.00025354       7      78   34.35458333    8.18708333
      318.65756226        0.00000000       6      79   34.33791667    8.17041667
      321.25958252        0.00062332       5      78   34.32125000    8.18708333
      323.86166382        0.00046110       4      79   34.30458333    8.17041667
      326.46380615        0.00062305       3      80   34.28791667    8.15375000
      328.30050659        0.00001859       2      80   34.27125000    8.15375000
