RiverTools ChannelProfile
 
Number of profile points: 166
 
          Distance              Elev     Col     Row     Longitude      Latitude
 
        1.83897638     2484.89257812      96     111   35.83791667    7.63708333
        3.67795277     2440.52587891      97     111   35.85458333    7.63708333
        6.28166866     2418.29931641      98     111   35.87125000    7.63708333
        8.88533497     2389.66772461      99     110   35.88791667    7.65375000
       10.72856903     2373.88964844     100     109   35.90458333    7.67041667
       13.33213615     2367.59887695     100     108   35.90458333    7.68708333
       15.93565369     2354.66186523     101     107   35.92125000    7.70375000
       18.53912163     2346.24951172     102     106   35.93791667    7.72041667
       21.14253998     2343.64062500     103     105   35.95458333    7.73708333
       23.74590874     2324.57910156     104     104   35.97125000    7.75375000
       26.34922600     2314.14257812     103     103   35.95458333    7.77041667
       28.19247055     2294.91308594     102     102   35.93791667    7.78708333
       30.79568863     2294.91308594     102     101   35.93791667    7.80375000
       32.63387299     2293.88281250     103     100   35.95458333    7.82041667
       35.23704147     2292.30273438     104     100   35.97125000    7.82041667
       37.08029175     2292.30273438     105      99   35.98791667    7.83708333
       39.68335724     2244.77832031     105      98   35.98791667    7.85375000
       42.28637314     2244.77832031     106      97   36.00458333    7.87041667
       44.12962723     2210.72509766     107      96   36.02125000    7.88708333
       46.73254013     2210.72509766     107      95   36.02125000    7.90375000
       49.33540344     2185.14135742     108      94   36.03791667    7.92041667
       51.17866135     2185.14135742     109      93   36.05458333    7.93708333
       53.02191925     2185.14135742     109      92   36.05458333    7.95375000
       54.86518097     2185.14135742     109      91   36.05458333    7.97041667
       56.70844269     2185.14135742     109      90   36.05458333    7.98708333
       58.55170441     2185.14135742     109      89   36.05458333    8.00375000
       60.39496994     2185.14135742     109      88   36.05458333    8.02041667
       62.23823547     2185.14135742     109      87   36.05458333    8.03708333
       64.08150482     2185.14135742     109      86   36.05458333    8.05375000
       65.92477417     2185.14135742     109      85   36.05458333    8.07041667
       68.52712250     2185.14135742     109      84   36.05458333    8.08708333
       70.37039185     2185.14135742     110      83   36.07125000    8.10375000
       72.21366882     2185.14135742     110      82   36.07125000    8.12041667
       74.05694580     2185.14135742     110      81   36.07125000    8.13708333
       76.65908051     2185.14135742     110      80   36.07125000    8.15375000
       79.26116180     2172.99511719     111      79   36.08791667    8.17041667
       81.86318970     2162.37402344     110      78   36.07125000    8.18708333
       84.46516418     2158.88208008     111      77   36.08791667    8.20375000
       86.30844879     2063.09985352     112      76   36.10458333    8.22041667
       88.15173340     1906.16931152     112      75   36.10458333    8.23708333
       89.98796844     1838.20507812     112      74   36.10458333    8.25375000
       91.83125305     1833.46899414     111      74   36.08791667    8.25375000
       94.43302155     1833.46899414     111      73   36.08791667    8.27041667
       96.27631378     1817.70397949     112      72   36.10458333    8.28708333
       98.87797546     1781.93469238     112      71   36.10458333    8.30375000
      100.71389771     1765.65783691     111      70   36.08791667    8.32041667
      103.31550598     1755.66198730     110      70   36.07125000    8.32041667
      105.15879822     1705.42724609     109      69   36.05458333    8.33708333
      107.76029205     1567.84570312     109      68   36.05458333    8.35375000
      110.36173248     1519.66491699     108      67   36.03791667    8.37041667
      112.96311951     1519.66491699     107      66   36.02125000    8.38708333
      114.79865265     1519.66491699     106      65   36.00458333    8.40375000
      117.39998627     1519.66491699     105      65   35.98791667    8.40375000
      119.23560333     1478.60107422     104      66   35.97125000    8.38708333
      121.07122040     1470.49108887     103      66   35.95458333    8.38708333
      122.90683746     1463.90527344     102      66   35.93791667    8.38708333
      124.74245453     1437.62487793     101      66   35.92125000    8.38708333
      126.57807159     1435.76489258     100      66   35.90458333    8.38708333
      128.41368103     1421.12890625      99      66   35.88791667    8.38708333
      131.01507568     1421.12890625      98      66   35.87125000    8.38708333
      132.85076904     1421.12890625      97      67   35.85458333    8.37041667
      134.68646240     1409.49096680      96      67   35.83791667    8.37041667
      136.52215576     1409.49096680      95      67   35.82125000    8.37041667
      138.35784912     1409.49096680      94      67   35.80458333    8.37041667
      140.19354248     1409.49096680      93      67   35.78791667    8.37041667
      142.02923584     1409.49096680      92      67   35.77125000    8.37041667
      144.63067627     1409.49096680      91      67   35.75458333    8.37041667
      146.46629333     1409.49096680      90      66   35.73791667    8.38708333
      149.06768799     1355.03625488      89      66   35.72125000    8.38708333
      150.90322876     1344.72631836      88      65   35.70458333    8.40375000
      152.74653625     1326.78295898      87      65   35.68791667    8.40375000
      154.58984375     1326.78295898      87      64   35.68791667    8.42041667
      157.19107056     1326.78295898      87      63   35.68791667    8.43708333
      159.03437805     1326.78295898      86      62   35.67125000    8.45375000
      160.86959839     1322.91943359      86      61   35.67125000    8.47041667
      162.70481873     1322.91943359      85      61   35.65458333    8.47041667
      165.30593872     1322.91943359      84      61   35.63791667    8.47041667
      167.14108276     1322.91943359      83      60   35.62125000    8.48708333
      169.74214172     1269.45458984      82      60   35.60458333    8.48708333
      171.57736206     1255.49499512      81      61   35.58791667    8.47041667
      173.41258240     1243.95715332      80      61   35.57125000    8.47041667
      175.24780273     1243.95715332      79      61   35.55458333    8.47041667
      177.08302307     1225.83544922      78      61   35.53791667    8.47041667
      178.91824341     1220.14709473      77      61   35.52125000    8.47041667
      180.75346375     1220.14709473      76      61   35.50458333    8.47041667
      182.58868408     1214.13378906      75      61   35.48791667    8.47041667
      185.18980408     1195.57788086      74      61   35.47125000    8.47041667
      187.02510071     1195.57788086      73      62   35.45458333    8.45375000
      188.86039734     1195.57788086      72      62   35.43791667    8.45375000
      191.46156311     1177.08398438      71      62   35.42125000    8.45375000
      193.29678345     1156.85083008      70      61   35.40458333    8.47041667
      195.89790344     1156.85083008      69      61   35.38791667    8.47041667
      198.49896240     1156.85083008      68      60   35.37125000    8.48708333
      200.33418274     1127.54223633      67      61   35.35458333    8.47041667
      202.93530273     1127.54223633      66      61   35.33791667    8.47041667
      204.77044678     1127.54223633      65      60   35.32125000    8.48708333
      206.60559082     1127.54223633      64      60   35.30458333    8.48708333
      208.44073486     1127.54223633      63      60   35.28791667    8.48708333
      210.27587891     1127.54223633      62      60   35.27125000    8.48708333
      212.87693787     1127.54223633      61      60   35.25458333    8.48708333
